,Candidate Deidentified ID,Screening Form Total Score,Screening Form Question,Screening Form Answer
4386,549,90,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
5434,680,90,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
1603,201,100,Are you comfortable with statistical analysis?,Yes
446,56,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
4520,566,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
5466,684,90,Please indicate the required salary you are seeking for this position.,"$90,000"
1124,141,100,Are you comfortable with statistical analysis?,Yes
3664,459,100,How many years of experience do you have preparing statistical analysis?,4+ years
222,28,80,How many years of experience do you have working with SQL?,2 to 3 years
6011,752,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1297,163,90,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1927,241,100,Are you comfortable with statistical analysis?,Yes
2411,302,80,Please indicate the required salary you are seeking for this position.,"70,000"
4356,545,90,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
3989,499,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
4226,529,60,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
3144,394,90,How many years of experience do you have preparing statistical analysis?,2 to 3 years
4461,558,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
306,39,90,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
6157,770,70,Are you legally able to work in Canada?,Yes
1120,141,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
4219,528,60,How many years of experience do you have preparing statistical analysis?,0 to 1 year
6236,780,80,Are you legally able to work in Canada?,Yes
5877,734,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
3244,406,60,How many years of experience do you have working with SQL?,2 to 3 years
1160,146,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
760,96,100,Are you comfortable with statistical analysis?,Yes
2717,340,90,Please indicate the required salary you are seeking for this position.,120000
5921,741,70,How many years of experience do you have working with SQL?,2 to 3 years
3615,452,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
2919,365,100,Are you comfortable with statistical analysis?,Yes
3203,401,80,How many years of experience do you have working with SQL?,2 to 3 years
2222,278,100,How many years of experience do you have preparing statistical analysis?,4+ years
500,63,90,How many years of experience do you have working with SQL?,2 to 3 years
299,38,90,How many years of experience do you have preparing statistical analysis?,4+ years
5999,751,90,Please indicate the required salary you are seeking for this position.,70000
6077,760,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
6144,769,90,How many years of experience do you have preparing statistical analysis?,2 to 3 years
1281,161,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
2734,342,85,How many years of experience do you have preparing statistical analysis?,2 to 3 years
5575,697,90,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1974,247,90,Are you legally able to work in Canada?,Yes
5612,702,100,How many years of experience do you have working with SQL?,4+ years
6280,786,100,How many years of experience do you have working with SQL?,4+ years
2820,353,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
2514,315,90,Are you legally able to work in Canada?,Yes
4534,567,80,Are you legally able to work in Canada?,Yes
331,42,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
1463,183,80,Are you legally able to work in Canada?,Yes
3602,451,90,Are you legally able to work in Canada?,Yes
5975,747,80,How many years of experience do you have working with SQL?,2 to 3 years
6286,786,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
1434,180,80,Are you legally able to work in Canada?,Yes
