,Candidate Deidentified ID,Education College Deidentified ID,Education Degree Name,Education Degree Type,Education Major,Education Start Date,Education End Date
644,108,131.0,Diploma,None,Predictive Analytics,2021-09,2022-09
480,82,110.0,Master of Science,Master,Industrial Engineering,2015-01,2016-12
38,4,8.0,Bachelor of Technology,None,Electronics & Communications,2010-08,2014-05
727,124,13.0,Bachelor of Science,Bachelor,Mathematics And Statistics,2017-09,2022-11
236,47,71.0,Bachelors Degree,None,Computer Engineering,2014-08,2018-07
806,137,161.0,Masters Degree,None,"Science, Computational & Applied Mathematics, Analytics",2018-07,2020-06
487,82,109.0,Bachelor of Technology,None,Mechanical Engineering,2006-08,2010-07
167,29,46.0,Bachelor of Arts,Bachelor,Economics,2013-08,2017-12
368,54,82.0,Bachelor of Science,Bachelor,Electrical Engineering,,
514,88,114.0,Certification,None,"Project Management, management",,
606,103,123.0,Certified Scrum Master,None,,,
126,22,35.0,BTech,Bachelor,IT,,
621,104,32.0,Graduate Certificate,None,,2022-01,2022-07
96,15,27.0,Bachelors Degree,None,Tourism Management,2008-09,2012-06
156,27,43.0,Masters,None,Technology,,
106,17,31.0,Bachelor of Commerce,Bachelor,,2015-06,2018-06
579,98,,,,,,
314,51,78.0,Product Management Certification,None,,,
115,20,32.0,Bachelor of Commerce,Bachelor,"SPECIALIZATON, ACCOUNTING",2013-09,2018-05
471,81,17.0,Bachelor of Business Administration,Bachelor,"Administration, Business, Commerce",,
444,75,102.0,Master of Science,Master,Computer Science,2017-01,2018-08
534,88,114.0,"Project Management, Certification management",None,Accounting Program,,
337,53,7.0,Graduate Certificate,None,"International Business, Management",2012-01,2013-12
719,120,,,,,,
327,51,80.0,Masters Degree,None,Human-Centered Design Fundamentals Program,,
11,1,3.0,Bachelor of Science,Bachelor,Economics,,
736,127,148.0,Bachelor of Arts,Bachelor,Media Studies,,
200,37,56.0,Bachelor of Engineering,Bachelor,,2013-09,2017-06
355,54,82.0,Bachelor of Science,Bachelor,Electrical Engineering,,
150,26,41.0,Master of Science,Master,Computer Science,2019-01,2021-04
230,45,69.0,Bachelor of Engineering,Bachelor,"Information Science, IT",2011-08,2015-07
495,86,111.0,Post Graduate Diploma,None,Business and International commerce,,
529,88,115.0,G.C.S.E. / General Certificate of Secondary Education,None,,,
386,59,89.0,diploma,None,Financial Management,,
505,87,113.0,Bachelor of Science,Bachelor,Psychology,2014-01,2017-12
673,112,119.0,Post-Graduate Degree,None,Cloud Computing for Big Data,2021-01,2022-08
761,130,151.0,Bachelors Degree,None,Engineering,2013-09,2017-07
137,24,37.0,Bachelor of Technology,None,Electricals & Electronics,,
531,88,114.0,Lean Six Sigma White Belt,None,,,
468,80,107.0,Bachelors Degree,None,,,
405,63,43.0,Bachelors,None,Computer Science Engineering,,
294,49,26.0,Master of Business Administration,Master,,2017,2020
43,5,10.0,Master of Business Administration,Master,IT and Finance,2010,2012
779,132,63.0,Diploma,None,Business,2021,2022
300,50,76.0,Masters Degree,None,"Interna, Business, Economics",,
507,87,30.0,post-graduate certificate,None,Business,,
381,57,88.0,Bachelor's Degree,None,Mechanical Engineering,,
25,3,6.0,Master of Business Administration,Master,Business Analytics,2021,2021
117,22,33.0,Bachelor of Technology,None,Information Technology,,
586,99,66.0,Bachelors Degree,None,"Science, Computer Science",,
749,128,149.0,SAS Certified Base Programmer,None,,2015,2016
803,136,32.0,Bachelor of Informatics,None,,2019-05,2022-06
512,88,114.0,Lean Six Sigma White Belt,None,,,
540,88,115.0,G.C.S.E. / General Certificate of Secondary Education,None,,,
189,34,54.0,B.E.,None,,,
418,65,16.0,Graduate Certificate,None,"EDUCATION, Business, Analytics",2022-01,2022-08
665,112,119.0,Post-Graduate Degree,None,,,
1,1,1.0,Master of Management,Master,,,
32,4,7.0,Post-Graduate Diploma,None,"Software Engineering, Relevant Courses",2016-01,2017-06
310,50,76.0,Masters Degree,None,"Interna, Business, Economics",,
732,127,17.0,Master of Information Studies,None,Information System Design,,
232,46,70.0,Bachelor of Technology,None,Computer Science,2011-07,2015-07
773,132,156.0,Master of Business Administration,Master,Marketing and Sales,2014,2016
41,5,10.0,Master of Business Administration,Master,IT and Finance,2010,2012
627,105,58.0,Masters Degree,None,Management,,
73,14,22.0,,None,aviation,notKnown,2017-07
659,111,136.0,Google Data Analytics Professional Certification,None,,,
781,132,155.0,Bachelor of Technology,None,Computer Science,2008,2012
289,48,32.0,Bachelor of Arts,Bachelor,Applied Mathematics and Psychology,1998-09,2005-10
436,73,17.0,Master of Engineering,Master,,2020-09,2022-11
805,137,161.0,Masters Degree,None,"Science, Computational & Applied Mathematics, Analytics",2018-07,2020-06
479,82,110.0,Master of Science,Master,Industrial Engineering,2015-01,2016-12
517,88,32.0,BA / Bachelor of Arts,None,,,
605,103,123.0,Certified Scrum Master,None,,,
349,53,81.0,Bachelors Degree,None,Business Administration - Marketing,1998-09,2002-06
680,113,73.0,Post Graduate Diploma,None,"Business Analysis, Process Management",,
641,108,129.0,Bachelor of Technology,None,Computer Science Engineering,2011-07,2015-06
40,5,9.0,Bachelor of Technology,None,"Biotechnology, Engineering, Technology",2004,2008
379,57,88.0,Bachelor's Degree,None,Mechanical Engineering,,
782,132,156.0,Master of Business Administration,Master,Marketing and Sales,2014,2016
308,50,76.0,Masters Degree,None,"Interna, Business, Economics",,
484,82,110.0,M.S.,Master,Industrial Engineering,1984-03,2000-04
693,116,140.0,Certification ID,None,,,
395,60,90.0,Bachelors Degree,None,"Technology, Computer Science Engineering",,
465,80,107.0,Bachelors Degree,None,,,
787,133,159.0,Masters Degree,None,Business Information Systems,,
226,45,69.0,Bachelor of Engineering,Bachelor,"Information Science, IT",2011-08,2015-07
99,16,29.0,Bachelor of Engineering,Bachelor,,2006,2010
209,39,61.0,Master of Arts,Master,Financial Economics,,
376,56,87.0,Bachelor of Technology,None,Computer Science Engineering,,
629,106,43.0,Bachelor of Technology,None,Electrical,,
185,32,52.0,Bachelors,None,Information Technology,,
332,51,78.0,Product Management Certification,None,,,
456,75,103.0,Bachelors Degree,None,"Technology, Computer Science",2012-06,2016-04
