,Candidate Deidentified ID,Education College Deidentified ID,Education Degree Name,Education Degree Type,Education Major,Education Start Date,Education End Date
256,38,26.0,POST GRADUATE PROGRAM,None,"BUSINESS, ANALYTICS",2021,2022
96,16,26.0,Graduate Certificate,None,"Business, Analytics",,
372,56,85.0,SAS Advanced Programming Certificate,None,,,
507,75,6.0,Master of Computer Applications,Master,,,
521,81,16.0,Bachelor of Technology,None,Electronics and Communication Engineering,,
186,28,44.0,Bachelor of Engineering,Bachelor,Petroleum Engineering,,
694,107,29.0,Project Management,None,,,
752,113,145.0,Doctoral Degree,None,Industrial and Information Systems Engineering,2011,2015
1023,154,193.0,Graduate Certification,None,"Business, Entrepreneurship",2018,2019
683,105,134.0,Post Graduate Diploma,None,Business and International commerce,,
777,114,75.0,Bachelors Degree,None,,2014-09,2015-04
837,122,158.0,Bachelor of Technology,None,Biotechnology,2016-07,2020-06
303,48,75.0,Bachelor of Engineering,Bachelor,Electrical Engineering,,
681,105,135.0,Bachelor of Commerce,Bachelor,,,
866,129,163.0,Bachelor of Science,Bachelor,Computer Science and Engineering,,
690,107,29.0,Certificate,None,,,
648,102,132.0,MBA,Master,,,
786,115,51.0,Bachelors Degree,None,,,
920,138,174.0,Bachelor of Education,None,,2006,2008
947,145,178.0,Bachelor of Computer Sciences,None,,,
605,94,127.0,Bachelor of Science,Bachelor,Computer Science,2009-09,2013-08
798,115,90.0,Post Graduate Certificate,None,"Big Data, Analytics",,
673,104,16.0,Bachelor of Technology,None,"Electronics, Communications",,
565,88,122.0,Master,None,"Engineering, Electronic and Communication Engineering",,
644,102,132.0,MBA,Master,,,
663,102,75.0,Project Management Institute,None,Project Management,,
720,112,144.0,Masters Degree,None,Industrial Engineering,2018,2019
906,134,53.0,Diploma,None,,1997,2001
172,27,42.0,Post-Graduate Diploma,None,Interactive Digital Media,,
625,97,,,,,,
995,151,22.0,Bachelor of Business Administration,Bachelor,Finance and Statistics,,
607,94,127.0,Bachelor of Science,Bachelor,Computer Science,2009-09,2013-08
56,11,19.0,Bachelor of Information and Computer Science,None,,1999-09,2003-06
425,60,93.0,Bachelor's Degree,None,Information and Communication Technology,,
544,85,117.0,Masters Degree,None,,2005,2010
712,111,141.0,Master,None,,,
967,150,183.0,Project Management Professional,None,,,
335,53,77.0,Master of Business Administration,Master,Management & Innovation,2014,2016
306,49,60.0,Post Graduate Diploma,None,Project Management,,
1005,152,190.0,CERTIFICATE IN EXCEL TO MYSQL,None,,,
850,125,144.0,Master of Engineering,Master,Computer Networking,,
614,96,130.0,Certificate in Introduction,None,,2014-06-17,2014-07-01
653,102,75.0,Project Management Institute,None,Project Management,,
861,129,162.0,master's degree,None,,,
90,16,28.0,Bachelors Degree,None,Applied Statistics,,
174,27,42.0,Post-Graduate Diploma,None,Interactive Digital Media,,
276,43,70.0,Professional Diploma,None,"EDUCATION, IT",2017-09,2019-06
313,50,76.0,Bachelor of Commerce,Bachelor,Computer Science,,
148,26,40.0,Certification in Big Data Analytics,None,,,
753,113,145.0,Doctoral Degree,None,Industrial and Information Systems Engineering,2011,2015
220,33,51.0,Master of Engineering,Master,Information Technology,,
716,111,142.0,Bachelor of Commerce,Bachelor,,2014-06,2017-05
951,146,181.0,Master of Applied Science,None,Process Systems Engineering,,
202,30,49.0,Bachelor of Informatics,None,,2007-06,2011-03
993,151,22.0,Bachelor of Business Administration,Bachelor,Finance and Statistics,,
885,131,165.0,Bachelor of Engineering,Bachelor,Computer Engineering,2015-08,2019-05
762,113,145.0,Scholarship,None,Indonesian,2004,2006
676,104,16.0,Bachelor of Technology,None,"Electronics, Communications",,
34,7,11.0,Bachelor of Arts,Bachelor,"Economics, Political Science",,
51,9,15.0,Master of Business Administration,Master,Operations and Analytics,,
103,18,29.0,Post Graduate Certificate,None,Information Technology,,
54,10,18.0,Bachelor of Technology,None,Electronics and Communication Engineering,2014-08,2018-05
114,23,33.0,Bachelor of Informatics,None,Eng.,2013-01,2017-01
215,32,53.0,Honours,None,Relevant courses,,
1001,152,188.0,CERTIFICATE,None,,,
63,12,21.0,Bachelor of Commerce,Bachelor,,,
66,12,20.0,Master of Business Administration,Master,Finance,,
687,107,60.0,Post Graduate Diploma,None,Project Management,,
513,77,22.0,Bachelor of Science,Bachelor,"Mathematics, Economics",2018-09,2022-06
811,118,153.0,Bachelor of Science in Business Administration,Bachelor,Management Information Systems,,
19,4,6.0,Bachelor of Engineering,Bachelor,Electronics And Communication Engineering,,
