,Candidate Deidentified ID,Screening Form Total Score,Screening Form Question,Screening Form Answer
394,16,70,Are you comfortable with statistical analysis?,Yes
934,53,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
578,100,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
862,19,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
740,23,60,How many years of experience do you have working with SQL?,0 to 1 year
596,22,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
815,88,90,Are you comfortable with statistical analysis?,Yes
921,74,90,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
969,96,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
878,89,60,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
424,64,60,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
645,62,70,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
986,52,50,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
253,95,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
501,9,100,Please indicate the required salary you are seeking for this position.,70000
1029,43,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
130,126,100,How many years of experience do you have working with SQL?,4+ years
363,118,65,Are you comfortable with statistical analysis?,Yes
852,57,100,Are you legally able to work in Canada?,Yes
659,85,100,Are you comfortable with statistical analysis?,Yes
768,96,100,Please indicate the required salary you are seeking for this position.,95000
973,74,90,Please indicate the required salary you are seeking for this position.,70000
502,12,70,How many years of experience do you have preparing statistical analysis?,2 to 3 years
520,109,70,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
773,77,90,Are you legally able to work in Canada?,Yes
1054,17,50,How many years of experience do you have working with SQL?,0 to 1 year
127,29,80,Are you legally able to work in Canada?,Yes
56,1,90,How many years of experience do you have working with SQL?,4+ years
204,129,100,Please indicate the required salary you are seeking for this position.,90000
612,19,100,Please indicate the required salary you are seeking for this position.,78000
710,79,100,Are you comfortable with statistical analysis?,Yes
1017,107,90,How many years of experience do you have preparing statistical analysis?,4+ years
1044,73,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
622,111,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
978,86,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
984,107,90,Are you legally able to work in Canada?,Yes
701,50,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
1079,49,90,Please indicate the required salary you are seeking for this position.,60000-70000
754,21,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
