,Candidate Deidentified ID,Screening Form Total Score,Screening Form Question,Screening Form Answer
1233,135,50,Are you comfortable with statistical analysis?,Yes
867,132,40,How many years of experience do you have working with SQL?,2 to 3 years
913,86,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
480,29,90,How many years of experience do you have preparing statistical analysis?,2 to 3 years
11,54,60,What is your self-determined level of expertise in Microsoft Excel?,Expert
339,89,70,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
373,12,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
335,115,60,What is your self-determined level of expertise in Microsoft Excel?,Expert
844,71,100,Are you comfortable with statistical analysis?,Yes
1212,95,90,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
983,2,60,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
252,96,75,Please indicate the required salary you are seeking for this position.,Negotiable
369,147,70,Please indicate the required salary you are seeking for this position.,"60,000/year"
398,125,70,Please indicate the required salary you are seeking for this position.,75000
227,148,70,Are you comfortable with statistical analysis?,Yes
180,31,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
338,103,70,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
516,119,85,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
896,34,90,How many years of experience do you have working with SQL?,2 to 3 years
1033,91,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1223,30,80,Are you legally able to work in Canada?,Yes
564,97,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
612,51,60,How many years of experience do you have preparing statistical analysis?,0 to 1 year
1163,134,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
992,92,100,Please indicate the required salary you are seeking for this position.,70000
577,38,70,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
46,54,60,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
780,91,100,Are you legally able to work in Canada?,Yes
833,108,100,Are you comfortable with statistical analysis?,Yes
453,73,90,Are you comfortable with statistical analysis?,Yes
330,51,60,How many years of experience do you have working with SQL?,0 to 1 year
376,147,70,How many years of experience do you have working with SQL?,0 to 1 year
664,89,70,How many years of experience do you have working with SQL?,2 to 3 years
1036,19,40,How many years of experience do you have working with SQL?,2 to 3 years
659,13,90,Are you comfortable with statistical analysis?,Yes
635,45,90,Are you comfortable with statistical analysis?,Yes
584,46,90,What is your self-determined level of expertise in Microsoft Excel?,Expert
1183,17,50,How many years of experience do you have preparing statistical analysis?,0 to 1 year
452,22,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
790,56,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1195,17,50,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
1104,40,100,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
112,65,90,How many years of experience do you have working with SQL?,4+ years
74,130,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
757,99,70,Please indicate the required salary you are seeking for this position.,50000-60000
16,9,80,Are you legally able to work in Canada?,Yes
1047,95,90,Please indicate the required salary you are seeking for this position.,90000
267,60,80,Please indicate the required salary you are seeking for this position.,65000
93,99,70,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
1004,42,80,How many years of experience do you have working with SQL?,2 to 3 years
1234,126,90,How many years of experience do you have working with SQL?,4+ years
570,139,60,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
1168,15,100,Are you comfortable with statistical analysis?,Yes
390,139,60,Are you comfortable with statistical analysis?,Yes
158,84,70,How many years of experience do you have preparing statistical analysis?,2 to 3 years
828,10,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
744,120,60,Please indicate the required salary you are seeking for this position.,$50000-$55000
1011,105,100,Please indicate the required salary you are seeking for this position.,"85,000"
442,38,70,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
1095,10,80,How many years of experience do you have preparing statistical analysis?,2 to 3 years
616,45,90,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
300,115,60,How many years of experience do you have working with SQL?,0 to 1 year
1210,75,60,Are you comfortable with statistical analysis?,Yes
633,73,90,Please indicate the required salary you are seeking for this position.,100k-120k
1182,6,75,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
747,46,90,Are you legally able to work in Canada?,Yes
623,62,70,Are you comfortable with statistical analysis?,Yes
1035,128,60,How many years of experience do you have preparing statistical analysis?,0 to 1 year
430,21,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
190,151,100,Are you legally able to work in Canada?,Yes
736,155,95,Please indicate the required salary you are seeking for this position.,"70,000"
331,150,90,Please indicate the required salary you are seeking for this position.,75k
809,11,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
1225,128,60,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
1147,81,90,How many years of experience do you have preparing statistical analysis?,2 to 3 years
75,131,70,Are you legally able to work in Canada?,Yes
760,102,80,Are you comfortable with statistical analysis?,Yes
974,128,60,What is your self-determined level of expertise in Microsoft Excel?,Expert
562,125,70,Are you legally able to work in Canada?,Yes
223,53,100,Are you legally able to work in Canada?,Yes
225,79,80,How many years of experience do you have working with SQL?,0 to 1 year
1067,16,70,How many years of experience do you have working with SQL?,0 to 1 year
278,146,100,How many years of experience do you have working with SQL?,4+ years
51,147,70,What is your self-determined level of expertise in Microsoft Excel?,Expert
792,63,85,Please indicate the required salary you are seeking for this position.,"$60,000"
1099,6,75,Please indicate the required salary you are seeking for this position.,C$64873
864,67,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
245,68,80,How many years of experience do you have working with SQL?,4+ years
625,62,70,Are you legally able to work in Canada?,Yes
1064,10,80,How many years of experience do you have working with SQL?,2 to 3 years
29,9,80,Are you comfortable with statistical analysis?,Yes
1082,126,90,How many years of experience do you have preparing statistical analysis?,2 to 3 years
451,25,90,Are you comfortable with statistical analysis?,Yes
712,72,70,How many years of experience do you have preparing statistical analysis?,2 to 3 years
350,4,50,How many years of experience do you have working with SQL?,0 to 1 year
1022,50,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
313,146,100,Are you legally able to work in Canada?,Yes
1052,102,80,How many years of experience do you have working with SQL?,2 to 3 years
970,90,90,Are you comfortable with statistical analysis?,Yes
877,67,80,Please indicate the required salary you are seeking for this position.,$60000
