,Candidate Deidentified ID,Education College Deidentified ID,Education Degree Name,Education Degree Type,Education Major,Education Start Date,Education End Date
130,18,25.0,Bachelor of Commerce,Bachelor,,2009,2012
428,64,,,,,,
568,83,109.0,High School Diploma,None,,,
273,39,46.0,GED Test,None,,,
1197,207,232.0,Bachelor of Arts,Bachelor,,,
1112,191,218.0,,None,,2005-05,2006-04
1224,213,237.0,Bachelor of Technology,None,Civil Engineering,,
1036,171,199.0,Bachelors Degree,None,Industrial Management,,
849,140,172.0,Bachelors Degree,None,"Business Administration, Finance",2018-09,2021-12
44,4,8.0,Diploma,None,Aircraft Maintenance Engineering,2005,2008
42,4,8.0,Diploma,None,Aircraft Maintenance Engineering,2005,2008
93,12,1.0,Master of Science,Master,"Management, Business Technology Management",2020-09,2022-04
1134,195,221.0,GRADUATE CERTIFICATE IN WIRELESS INFORMATION NETWORKING,None,,,
578,86,113.0,Master of Science,Master,Electrical and Computer Engineering,,
979,161,126.0,Bachelor of Engineering,Bachelor,"Electronics, computer",,
64,9,15.0,Bachelors,None,,,
163,22,31.0,Master of Science,Master,Computer Science,2018-09,2021-10
1194,206,44.0,Bachelor of Technology,None,"Electronics, Communications, Technology",2008,2012
556,83,111.0,Bachelor of Business Admin,None,,,
311,43,59.0,Post-Graduate Diploma,None,Business Administration,2019,2020
178,22,31.0,Master of Science,Master,Computer Science,2018-09,2021-08
966,160,187.0,Certified Scrum Master,None,,,
977,161,126.0,Bachelor of Engineering,Bachelor,"Electronics, computer",,
734,114,148.0,Bachelor of Science,Bachelor,"Applied Mathematics, Statistics",2017-01,2022-05
703,108,141.0,Bachelor of Engineering,Bachelor,Electronics & Communication,2011,2015
447,68,88.0,Master of Electrical Engineering,None,,2013,2015
619,95,128.0,Graduate Certificate,None,,2020-09,2021-04
1018,168,197.0,Technician,None,,,
802,135,165.0,MBA,Master,,,
925,150,,,,,,
280,39,50.0,Lean Six Sigma Green Belt,None,,,
530,80,102.0,Certified Design Associate,None,,,
172,22,33.0,Bachelor of Informatics,None,Eng.,2013-01,2017-01
550,82,108.0,Bachelor of Technology,None,Electrical Engineering,2012-06,2016-08
159,22,31.0,Master of Science,Master,Computer Science,2018-09,2021-08
1076,180,68.0,Master of Engineering,Master,,,
89,11,9.0,Post-Graduation Certificate,None,,2018,2020
164,22,31.0,Master of Science,Master,Computer Science,2018-09,2021-10
572,85,112.0,Bachelor of Science,Bachelor,"Mathematics, Statistics, Mathematics and Statistics",2008,2010
937,152,181.0,Master of Science,Master,Data Analytics,2014-08,2015-08
1216,209,233.0,Bachelor of Commerce,Bachelor,,,
268,39,48.0,Post-Graduate Diploma,None,"Operations Management, Strategic Management & Leadership",,
769,124,154.0,Bachelor of Science,Bachelor,Mechanical Engineering,2009-09,2013-06
701,107,138.0,Bachelor of Electrical/Electronic Engineering,None,,1995-11,2001-01
954,159,184.0,PG Diploma,None,Mobile Application Development,,
1,1,2.0,Post Graduate Certification,None,"Geographic Information System, Geospatial Management",2015,2016
297,41,54.0,Reaching Out Award,None,,,
1143,199,226.0,,None,Computer Science Engineering,2012-09,2016-06
724,112,143.0,Baccalaureate Degree,None,Computer Science,,
847,139,169.0,Masters Degree,None,"Business Administration, Marketing Management",,
382,59,76.0,Advanced Diploma,None,Data Science and Analysis,2020,2020
1173,202,163.0,Graduate Certificate,None,,2022-01,2022-07
1172,202,163.0,Graduate Certificate,None,,2022-01,2022-07
126,18,25.0,Bachelor of Commerce,Bachelor,,2009,2012
171,22,32.0,Bachelor degree,None,,,
803,135,166.0,Bachelor of Science,Bachelor,Computer Science,,
545,81,106.0,Master of Science,Master,"Management, Business",2021,2022
459,69,89.0,Bachelors,None,"Computer Application, Computer Science",,
876,145,59.0,MBA,Master,"Information System, Finance",,
321,44,62.0,Post-Graduate Diploma,None,Artificial Intelligence,2021-01,2022-04
114,15,9.0,Post-Graduate Diploma,None,Artificial Intelligence and Machine Learning,2021-01,2022-08
751,118,151.0,CANADIAN SECURITIES COURSE,None,,,
365,55,72.0,Bachelor of Economics,Bachelor,,,
80,11,9.0,Quality Engineering Management,None,,2018,2020
1168,202,163.0,Graduate Certificate,None,,2022-01,2022-07
1015,168,197.0,Technician,None,,,
857,142,5.0,Bachelor's Degree,None,,,
865,143,174.0,Graduate Diploma,None,"Business Administration, Major Human Resources",,
1008,167,194.0,Business Intelligence Certification,None,,2011,2012
66,10,16.0,Master of Engineering,Master,Electrical and Computer Engineering,2019-05,2020-08
1191,206,44.0,Bachelor of Technology,None,"Electronics, Communications, Technology",2008,2012
