,Candidate Deidentified ID,Education College Deidentified ID,Education Degree Name,Education Degree Type,Education Major,Education Start Date,Education End Date
966,355,470.0,Bachelor of Physics,None,,2007-05,2011-08
1331,182,612.0,Masters,None,Industrial Management,,
412,73,161.0,Graduate Certificate in Business Analytics,None,,,
271,691,151.0,Bachelor of Engineering,Bachelor,Software,2018-09,2022-04
859,84,89.0,Bachelors Degree,None,"Science, Specialization in Computer Science",2008-07,2011-06
368,645,211.0,BSc,Bachelor,Mechanical Engineering,,
505,571,,,,,,
917,382,161.0,Post-Graduate Diploma,None,,2021,2022
750,451,383.0,Bachelor of Arts,Bachelor,Language and Speech Sciences,,
963,357,161.0,Diploma,None,International Business,,
529,558,18.0,Master of Engineering,Master,Analytics,2022-09,2023-11
526,560,283.0,Bachelor of Computer Sciences,None,,,
18,827,17.0,PG Diploma,None,"Business, Administration",,
103,787,9.0,PG Diploma,None,Wireless Networking,,
1500,101,114.0,Bachelor of Science,Bachelor,Mathematics,2017-06,2020-03
1252,215,587.0,Diploma,None,Business Administration,2009-01,2011-12
1452,129,,,,,,
217,724,142.0,Bachelor of Technology,None,Computer Science,2016-08,2020-07
393,631,224.0,Bachelor's degree,None,computer science,,
1,15,1.0,Project Management Professional,None,,,
303,6,186.0,Bachelors Degree,None,Computer Science and Engineering,2016-08,2020-07
1153,267,546.0,Business Intelligence Developer,None,,2022-05,2023-09
569,535,70.0,Bachelors,None,Information Technology,,
758,447,161.0,"Project Management, Data Analysis & Visualization, Quality Assurance",None,,2023-01,2024-04
804,422,71.0,Master of Engineering,Master,,,
784,434,397.0,Bachelor,None,"Technology, Computer Science Engineering",,
774,440,234.0,Ontario College Post Graduate Certificate in AI,None,,,
938,370,461.0,Postgraduate Diploma in Management,None,Business Analytics,2023-05,2024-01
49,79,18.0,Bachelor of Science,Bachelor,Mathematics And Statistics,,
725,463,371.0,Scholarship,None,,,
382,636,161.0,Post-Graduate Diploma,None,Big Data Solution Architecture,2022-09,2023-05
1284,205,594.0,Certificate of SQL,None,,2022-03,2022-07
552,546,290.0,Bachelors Degree,None,International Hospitality Management,2015-02,2019-02
882,396,97.0,Masters,None,Information Systems,,
1274,208,592.0,Masters Of Global,None,Business,,
982,347,87.0,Bachelor of Arts,Bachelor,Legal Studies,,
802,423,403.0,Bachelor of Science,Bachelor,Economics,,
114,783,88.0,Certified Data Analyst,None,,,
140,763,101.0,Securities Advisor Certification,None,,,
850,405,36.0,Master of Economic,None,,2022-09,2024-04
525,561,282.0,Master of Computing,None,,,
757,448,,,,,,
52,813,41.0,Master of Science,Master,"Applied Modelling and Quantitative Methods, Big Data, Analytics",2023-01,2024-04
820,414,201.0,Bachelor of Technology,None,,,
1443,135,104.0,Bachelor of Science,Bachelor,Math and Computer Science,2019,2023
1385,160,634.0,Post Graduate Diploma in Management,None,,,
601,520,163.0,Bachelor of Engineering,Bachelor,Computer Engineering,2010,2014
1324,187,30.0,IT project management,None,,,
759,447,386.0,Certificate in Big Data Engineer,None,,2018-03,2018-11
858,84,63.0,Master of Business Administration,Master,,2011-08,2013-07
1047,96,149.0,Master's in Business Administration,None,Technical/Management/Analytical,,
1419,19,621.0,Bachelor of Computer Sciences,None,,2014-06,2017-09
249,703,18.0,Bachelors Degree,None,"Science, Statistics, Mathematics, Music, History and Culture",2014-09,2018-11
651,87,32.0,Diploma,None,Business Decision Making Program,,
729,462,71.0,Masters Degree,None,engineering,2021-01,2022-04
741,11,379.0,Masters Degree,None,,,
771,441,390.0,Bachelor of Business Administration,Bachelor,International Business,2015-09,2019-06
349,657,104.0,Diploma,None,Human Resource Management,2010,2013
659,488,,,,,,
1237,223,,,,,,
128,773,8.0,Bachelor of Commerce,Bachelor,,2017-09,2022-01
932,374,8.0,Bachelor of Science,Bachelor,Biology,,
1508,98,656.0,Master of Science,Master,Big Data Analytics,2016-07,2018-03
1123,283,36.0,Master of Electronic Business,None,,2016-01,2017-12
123,776,94.0,Bachelor of Informatics,None,,2009-04,2013-06
255,700,149.0,Bachelor of Engineering,Bachelor,IT,,
698,473,163.0,CSE Qualifications,None,,2013-06,2017-05
440,606,44.0,Bachelor of Mathematics,None,Statistics & Actuarial Science,2018-09,2022-06
913,384,,,,,,
1005,335,487.0,IISE Award for Outstanding Capstone Project,None,,,
288,681,108.0,Bachelor of Technology,None,Electronics & Communication,,
554,545,292.0,Bachelor of Technology,None,,,
605,518,316.0,Masters Degree,None,Project Management,2017-09,2018-04
1230,228,578.0,Bachelor of Arts,Bachelor,Economics,,
531,66,18.0,EDUCATIONData Analytics and Visualization Certification,None,,2022-08,2023-02
129,772,97.0,Master of Science,Master,Business,,
1304,199,598.0,Bachelor of Engineering,Bachelor,Information Technology,2016-07,2020-05
688,478,44.0,Masters Degree,None,"Data Analytics, Management Sciences",2022-09,2024-04
151,756,4.0,Master of Science,Master,,,
1214,234,,,,,,
1381,27,633.0,Master of Telecommunications,None,Engineering,2013-02,2015-02
1095,9,522.0,G.C.S.E. / General Certificate of Secondary Education,None,,,
1266,211,151.0,Master of Applied Business,None,Analytics,2021-09,2023-02
175,745,,,,,,
1387,159,,,,,,
182,742,10.0,Bachelor of Technology,None,,,
82,800,66.0,Master of Business,None,,2023-05,2024-05
145,760,105.0,Project Management,None,,2019-09,2020-04
983,347,120.0,Post-graduate Certificate,None,Alternative Dispute Resolution,,
1343,177,373.0,Bachelor of Technology,None,,,
58,4,47.0,Post Graduate Certificate in Business Intelligence,None,,,
881,396,435.0,MBA,Master,Technology Management,,
1249,218,71.0,Master of Science,Master,computer science,,
456,595,251.0,Masters Degree,None,"Education, Computer Applications",2016-06,2018-04
157,753,111.0,Certificate,None,Proficiency In Management,,
1344,176,619.0,Masters of Public Health,None,,,
1165,259,373.0,Master of Technology,None,Computer Science,2005,2007
889,82,65.0,Post-Graduate Diploma,None,Data Analytics,2021-09,2023-05
1288,203,9.0,PG Diploma,None,Artificial Intelligence and Machine Learning,,
1378,162,181.0,Bachelor of Science,Bachelor,Computer Science,,
198,731,132.0,Bachelor of Technology,None,Computer Science and Engineering,2015-07,2019-05
1217,14,85.0,Diploma,None,Business Administration,,
1306,197,281.0,Bachelors Degree,None,Data Science and Analytics,2020-09,2024-04
470,587,39.0,,None,,notKnown,2021-11
1269,210,104.0,Master of Engineering,Master,"Systems & Technology, Automation",2022-09,2024-08
216,724,28.0,Post Graduate Certification,None,Artificial Intelligence,2023-09,2024-04
346,50,104.0,Bachelor of Science,Bachelor,Mathematics and Statistics,2016-09,2020-04
39,817,34.0,,None,Industrial Engineering,2022-10,2023-06
209,727,137.0,B.Tech,None,,,
488,577,72.0,Bachelor's degree,None,Information Technology,,
721,464,278.0,Bachelors Degree,None,Mathematics,2014-08,2017-03
108,785,,,,,,
248,704,162.0,Bachelor of Science,Bachelor,,,
326,666,195.0,Bachelor of Engineering,Bachelor,Biotechnology,2010-08,2011-07
704,470,359.0,Bachelors Degree,None,Science,2009-06,2012-12
398,628,32.0,Post Graduate Certificate in Data Analytics,None,,,
1298,68,50.0,Master of Engineering,Master,,2022-05,2023-12
1280,17,368.0,Bachelor of Computing,None,,2020-09,2020-12
144,761,104.0,Bachelors Degree,None,Economics,,
1157,264,549.0,Master of Business Administration,Master,,,
460,592,254.0,Master of Business Administration,Master,Marketing,2011,2013
1262,40,357.0,Bachelor's,None,"commerce, computer",,
283,684,,,,,,
106,786,83.0,Master of Business Administration,Master,Business Administration,,
1176,252,40.0,Doctor,None,"Philosophy, Applied Mathematics, Statistics",2018-08,2022-10
767,443,70.0,Bachelor of Engineering,Bachelor,Electronics and Instrumentation Engineering,2011-06,2015-05
1169,256,161.0,Information Technology Business Analysis,None,,2021-05,2022-08
541,551,68.0,Google Project Management Professional Certificate,None,,,
1117,286,394.0,Master of Science,Master,Math & Engineering,2013,2015
377,640,44.0,Bachelors Degree,None,"Arts, Economics & Finance",,
1061,312,515.0,Certificate,None,"Global Business, Supply chain",2017,2018
1162,261,552.0,Masters Degree,None,Information Systems,2012,2014
631,504,18.0,Bachelor of Science,Bachelor,Mathematics and Statistics,2018-09,2023-06
158,753,112.0,B.Sc,Bachelor,Sociology,,
110,3,86.0,Graduate Certificate,None,,2020-09,2021-04
1388,158,635.0,Master of Science,Master,"Applied Econometrics, Data Analytics",,
1057,315,211.0,Bachelor of Science,Bachelor,Chemical Engineering,2017,2022
1242,52,585.0,Master of Science,Master,Automation and Control,2017-09,2018-12
1496,93,63.0,Bachelor of Technology,None,Information Technology,2015-08,2019-04
1371,165,39.0,,None,,notKnown,2022-02
38,817,33.0,Agile Project Management,None,,,
121,778,,,,,,
853,403,18.0,Certificate,None,Data Analytics,2022-02,2022-08
805,422,405.0,Bachelor of Engineering,Bachelor,,,
1420,19,39.0,,None,"Data Analysis, Business",,
496,574,18.0,Master of Commerce,Master,Computer Applications,2007,2009
890,393,226.0,Certified Tester,None,,,
1018,62,495.0,Diploma,None,,,
1409,149,,,,,,
1220,14,68.0,Google Business Intelligence Certificate Issued,None,,,
293,678,114.0,Bachelor of Engineering,Bachelor,Information Technology,,
1023,329,114.0,Bachelors Degree,None,Pharmacy,2004,2009
506,63,273.0,Masters Degree,None,,,
683,480,349.0,Bachelor of Technology- Information and Computer Science,None,,,
511,567,70.0,Bachelor of Engineering,Bachelor,Electronics & Communication Engineering,,
1327,184,38.0,Advanced Diploma,None,Business Administration - Finance,,
467,589,157.0,Masters Degree,None,Information Technology & Security,2021-09,2023-05
448,601,10.0,Bachelor of Technology,None,Computer Science,,
80,802,65.0,Post-Graduate Diploma,None,Data Analytics,2021-05,2022-08
988,344,71.0,Masters Degree,None,engineering,2021,2022
23,824,20.0,Master of Science / M.S.,None,"Data Analytics, Engineering",,
32,820,28.0,Postgraduate Certificate,None,"Big Data, Analytics",,
430,613,241.0,Bachelor,None,Industrial Engineering,,
940,370,120.0,Postgraduate Diploma in Management,None,Cloud Computing,2024-01,2024-08
1196,186,566.0,BACHELOR OF TECHNOLOGY,None,COMPUTER SCIENCE,,
1505,100,553.0,Bachelors Degree,None,"Computer Applications, Computer Science",,
666,486,,,,,,
420,620,,,,,,
1137,276,163.0,BACHELOR OF ENGINEERING,Bachelor,ELECTRONICS AND COMMUNICATION,,
935,372,147.0,Bachelor of Science,Bachelor,"Major Statistics, Minor Economics",,
1321,189,36.0,Master of Engineering,Master,Biomedical Engineering,,
365,646,86.0,PGMP Project Management,None,,2023-05,2023-12
239,709,,,,,,
1281,206,163.0,Bachelors Degree,None,Electronics and communication,2012-07,2016-07
1025,328,499.0,Bachelor of Business Administration,Bachelor,,2018,2021
1078,305,518.0,Master of Industrial Engineering,None,Industrial Engineering,2015,2016
1427,141,642.0,Research Student Dr.,None,,2021-09,2022-08
893,391,100.0,MBA,Master,,,
1132,279,85.0,Registered Practical Nurse,None,,2013-09,2015-12
373,642,174.0,Bachelor of Engineering,Bachelor,Artificial Intelligence / Data Science,2018-08,2022-07
167,748,117.0,Post-Graduate Degree,None,,2022-08,2023-08
1377,162,161.0,Post-Graduate Certificate,None,"Information Technology, Business Analysis",,
1035,323,504.0,Bachelor of Science,Bachelor,Microbiology,,
62,810,50.0,Masters Degree,None,"Engineering, Computer and Electrical Engineering",2020-09,2022-06
35,818,30.0,Graduate Certificate,None,Business Analytics,2023-01,2023-08
179,743,123.0,Master of Financial Economics,None,,2021-09,2023-06
1019,62,496.0,Ontario First Generation Award,None,,,
150,757,108.0,Bachelor of Technology,None,Computer Science and Engineering,2018,2022
268,693,171.0,Bachelor of Science,Bachelor,Business Management,,
1112,289,531.0,Bachelors Degree,None,Computer Science,2016-09,2020-09
363,648,208.0,Bachelor of Technology,None,Computer Science & Engineering,2015-06,2019-05
1472,119,,,,,,
1149,269,542.0,,None,,notKnown,2007
48,814,39.0,,None,,notKnown,2024-03
1231,228,579.0,Master of Science,Master,Business,,
385,635,220.0,Bachelor of Technology,None,Mechanical Engineering,,
1004,335,486.0,Bachelor of Engineering,Bachelor,,2019-09,2024-05
565,539,298.0,Bachelor of Science,Bachelor,"Statistics, Economics",2019-09,2023-04
873,400,18.0,Masters Degree,None,Information,2021-09,2023-11
937,371,219.0,Diploma,None,Logistics and,,
1207,37,120.0,PgC Global Business Management,None,,,
663,487,211.0,Master of Science,Master,Mathematical Finance,2020-09,2022-09
618,58,324.0,Post Graduate Diploma,None,Wed Design and Development,,
1029,326,44.0,Masters Degree,None,,2023-01,2024-04
1032,34,71.0,Master of Engineering,Master,Industrial Engineering,,
746,454,71.0,Bachelor of Science / B.S.,None,Computer and Information Science,,
195,734,78.0,Masters Degree,None,"Management Studies, Marketing",2017,2019
1116,287,178.0,Bachelor of Technology,None,Information Technology,2017-05,2021-05
71,806,57.0,Master's,Master,International Maritime Law,,
743,11,381.0,Masters Degree,None,Management,,
553,546,291.0,JLPT-N2,None,,2019-10,2020-12
521,2,279.0,Bachelor of Technology,None,Computer Science,2014-08,2018-06
309,673,50.0,Master of Engineering,Master,Mechanical Engineering,2021,2022
724,463,370.0,Bachelor of Arts,Bachelor,Economics,2013,2017
810,419,41.0,Master of Science,Master,Big Data Analytics,2021-05,2022-10
277,687,18.0,Bachelor of Science,Bachelor,"Statistics, Mathematics",2018-09,2022-06
458,594,253.0,Bachelor of Pharmacy,Bachelor,,,
801,424,,,,,,
1337,180,616.0,L1 and L2,None,Data Standardization Techniques,,
1372,164,630.0,Bachelor,None,Business,,
535,554,10.0,Bachelor of Technology,None,Computer Science Engineering,2013,2017
914,383,448.0,Bachelors,None,"Engineering, Computer Science",,
1300,201,595.0,Bachelor of Engineering,Bachelor,,,
92,795,39.0,Business Intelligence certificate,None,,,
1396,154,,,,,,
1289,203,163.0,Bachelor,None,Information Technology,,
730,461,374.0,Bachelor of Science in Business Administration,Bachelor,,,
1480,113,,,,,,
65,809,53.0,Basic MOST Certification,None,,,
1488,108,289.0,Bachelors of Technology,None,Electrical Engineering,,
284,683,44.0,Certificate,None,Data Science,2022-09,2023-12
27,822,24.0,Master of Business Administration,Master,,2018,2019
1226,41,577.0,Bachelors of Computer,None,Science Engineering,,
400,628,227.0,Bachelors Degree,None,Physiotherapy,,
808,420,150.0,Master of Business Administration,Master,,,
978,16,,,,,,
1495,103,,,,,,
1358,18,623.0,Bachelors Degree,None,"Engineering, Computer Engineering",2017-08,2021-07
416,622,71.0,Bachelor,None,"Psychology, Computer Science",,
1259,40,357.0,Bachelor's,None,commerce,,
36,818,31.0,Foundation Certificate in IT Service Management,None,,,
1083,302,,,,,,
1285,205,123.0,Master of Professional,None,Education,2021-09,2022-06
464,76,100.0,Bachelor,None,Commerce - Business Technology Management,,
837,409,414.0,Bachelors Degree,None,Computer Engineering,2015-10,2019-12
462,591,255.0,Bachelor of Engineering,Bachelor,Mechanical Engineering,,
1103,72,341.0,Baccalaureate,None,Business,,
1454,127,243.0,Master of Business Administration,Master,,2015-07,2017-06
646,495,8.0,Masters Degree,None,Financial Accountability,2022-09,2023-12
499,573,9.0,Supply Chain Management,None,,2021,2022
237,711,155.0,Master of Business Administration,Master,,2017,2019
762,446,39.0,,None,,notKnown,2023-01
15,828,14.0,Bachelor of Commerce,Bachelor,,,
429,614,240.0,Bachelor of Business Administration,Bachelor,,2011-06,2014-04
586,525,308.0,Bachelor of Technology,None,Computer Sciences,2011-07,2015-05
426,615,238.0,Bachelor of Informatics,None,,,
1154,266,547.0,Bachelors Degree,None,COMPUTER ENGINEERING,,
604,518,161.0,Masters Degree,None,"Education, Process Quality Management",2018-09,2019-04
407,625,231.0,Master of Computing,None,,,
537,552,163.0,Bachelor of Engineering,Bachelor,Computer Science,,
652,493,,,,,,
545,550,28.0,Diploma,None,Computer Programming,,
936,372,18.0,Master of Management,Master,Analytics,,
294,677,179.0,MASTERS OF BUSINESS ADMINISTRATION (MBA),None,,,
190,737,128.0,Post-Graduate Certificate,None,Business Analysis,2021-05,2021-12
