,Candidate Deidentified ID,Screening Form Total Score,Screening Form Question,Screening Form Answer
1054,72,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
283,53,70,How many years of experience do you have working with SQL?,2 to 3 years
1157,63,90,Are you comfortable with statistical analysis?,Yes
1051,74,80,Are you legally able to work in Canada?,Yes
670,221,70,How many years of experience do you have working with SQL?,2 to 3 years
665,60,80,Please indicate the required salary you are seeking for this position.,65000
358,95,50,Are you comfortable with statistical analysis?,Yes
1216,197,90,What is your self-determined level of expertise in Microsoft Excel?,Intermediate
1636,115,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
988,219,80,Please indicate the required salary you are seeking for this position.,75000-85000
261,164,90,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
1778,160,100,What is your self-determined level of expertise in Microsoft Excel?,Expert
1476,108,100,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
1281,192,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
30,73,70,Please indicate the required salary you are seeking for this position.,85000
1131,136,90,Please indicate the required salary you are seeking for this position.,90000
1623,33,80,What is your self-determined level of expertise in Microsoft Excel?,Expert
454,5,80,Are you comfortable with statistical analysis?,Yes
1675,93,80,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
1663,106,85,"Do you posses a University Degree in Computer Science, Statistics, Mathematics, Engineering or a related discipline?",Yes
1357,162,90,Are you comfortable with statistical analysis?,Yes
700,208,80,"Are you able to provide proof of having received a full series of a Health Canada approved COVID-19 vaccine (Section 77.7 of the Health Protection and Promotion Act (HPPA), R.S.O. 1990, c. H.7.), or are you able to provide documentation exempting you from the COVID-19 vaccine?",Yes
1283,128,90,Please indicate the required salary you are seeking for this position.,"90,000 to 110,000"
